date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:20	41169/41169	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202020%2014:20:19%20GMT	https://scalemysaas.com/	C:/My%20Web%20Sites/https___scalemysaas.com_/scalemysaas.com/index.html	(from )
19:50:20	22/22	---M--	200	added ('OK')	text/plain	date:Sat,%2001%20Aug%202020%2014:20:19%20GMT	https://scalemysaas.com/robots.txt		(from )
19:50:21	37181/37181	---M--	200	added ('OK')	image/png	etag:%226518d3dc1809c5ed28980f6e79dbedcb%22	https://cdn.landen.co/sap68g04ou33/assets/wm4ddhar.png	C:/My%20Web%20Sites/https___scalemysaas.com_/cdn.landen.co/sap68g04ou33/assets/wm4ddhar.png	(from https://scalemysaas.com/)
19:50:21	48723/48723	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Aug%202020%2014:20:20%20GMT	https://scalemysaas.com/css/413ba554c189e1ba2b1fe3dd3e57be9f.css	C:/My%20Web%20Sites/https___scalemysaas.com_/scalemysaas.com/css/413ba554c189e1ba2b1fe3dd3e57be9f.css	(from https://scalemysaas.com/)
19:50:22	36764/36764	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%228f9c-1739f0f0af0%22	https://call.chatra.io/chatra.js	C:/My%20Web%20Sites/https___scalemysaas.com_/call.chatra.io/chatra.js	(from https://scalemysaas.com/)
19:50:22	5103/5103	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Jul%202020%2012:13:53%20GMT	https://landen.imgix.net/sap68g04ou33/assets/dhh84706.jpg?w=80&h=80&fit=crop&crop=faces	C:/My%20Web%20Sites/https___scalemysaas.com_/landen.imgix.net/sap68g04ou33/assets/dhh847063d2b.jpg	(from https://scalemysaas.com/)
19:50:22	1103/1103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202020%2014:20:22%20GMT	https://scalemysaas.com/POST	C:/My%20Web%20Sites/https___scalemysaas.com_/scalemysaas.com/POST.4.delayed	(from https://scalemysaas.com/)
19:50:23	1103/1103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202020%2014:20:22%20GMT	https://scalemysaas.com/Version/	C:/My%20Web%20Sites/https___scalemysaas.com_/scalemysaas.com/Version/index.html	(from https://call.chatra.io/chatra.js)
